%time,field.data
1557352568524964177,359370
1557352568575326630,359473
1557352568625734004,359574
1557352568675825122,359672
1557352568725712663,359759
1557352568775982586,359850
1557352568826284028,359954
1557352568876013796,360054
1557352568926188999,360139
1557352568975958172,360239
1557352569025631754,360346
1557352569075710418,360433
1557352569126059221,360522
1557352569176889720,360625
1557352569226960739,360728
1557352569277052826,360812
1557352569326752651,360910
1557352569377221961,361019
1557352569427075502,361123
1557352569477331249,361223
1557352569527344059,361325
1557352569577099290,361426
1557352569627925103,361521
1557352569678074905,361632
1557352569727157998,361737
1557352569777828068,361842
1557352569827193781,361936
1557352569877769363,362043
1557352569928008636,362165
1557352569977962230,362265
1557352570027993933,362365
1557352570078043742,362459
1557352570128644024,362560
1557352570178680076,362675
1557352570228248327,362791
1557352570278320276,362887
1557352570328534862,362992
1557352570378432601,363103
1557352570428582467,363213
1557352570478441915,363310
1557352570528556059,363409
1557352570578614990,363519
1557352570628976124,363626
1557352570678818309,363726
1557352570728772403,363827
1557352570778758854,363933
1557352570828797802,364043
1557352570878787757,364149
1557352570929402347,364254
1557352570979012774,364363
1557352571029189183,364457
1557352571079113355,364543
1557352571129050274,364643
1557352571179340265,364755
1557352571229651841,364860
1557352571279447230,364950
1557352571329688972,365047
1557352571379493946,365145
1557352571429991337,365241
1557352571479843790,365338
1557352571529996078,365431
1557352571579975572,365530
1557352571630093254,365627
1557352571680142027,365719
1557352571730068561,365810
1557352571780462440,365907
1557352571830194534,366003
1557352571880352618,366096
1557352571931059667,366195
1557352571981130038,366295
1557352572031306420,366387
1557352572080978882,366476
1557352572131204686,366573
1557352572181293399,366676
1557352572231466002,366776
1557352572281615739,366881
1557352572331436816,366986
1557352572381734238,367084
1557352572432181719,367180
1557352572481883340,367284
1557352572532474458,367387
1557352572582670701,367488
1557352572631912933,367591
1557352572682149659,367692
1557352572731941597,367792
1557352572782037224,367898
1557352572832532698,368005
1557352572883499003,368115
1557352572933204719,368218
1557352572982246462,368319
1557352573032405829,368438
1557352573082389583,368554
1557352573133153003,368684
1557352573183152862,368796
1557352573233206571,368926
1557352573283288528,369044
1557352573333331616,369144
1557352573383499484,369265
1557352573433445280,369395
1557352573483582477,369522
1557352573534357883,369653
1557352573584057267,369777
1557352573634116568,369910
1557352573683867289,370046
1557352573734255169,370177
1557352573784152920,370311
1557352573834030286,370448
1557352573884134678,370583
1557352573934214506,370723
1557352573984120357,370866
1557352574034206667,371007
1557352574084368271,371148
1557352574134659413,371284
1557352574184560723,371427
1557352574234306455,371575
1557352574284304684,371721
1557352574334730924,371858
1557352574384839845,371984
1557352574434748477,372109
1557352574484742057,372237
1557352574534741262,372335
1557352574584884635,372442
1557352574635194190,372550
1557352574685122556,372649
1557352574735518587,372725
1557352574785619877,372795
1557352574835744345,372862
1557352574885465420,372912
1557352574935501256,372947
1557352574985684429,372974
1557352575035738562,373001
1557352575085831480,373028
1557352575135773654,373052
1557352575185927765,373069
1557352575236411866,373082
1557352575286181226,373093
1557352575336355300,373100
1557352575386431796,373105
1557352575436856506,373108
1557352575486438690,373112
1557352575537059316,373115
1557352575586665770,373116
1557352575637169874,373116
1557352575687011348,373116
1557352575737305460,373115
1557352575787124036,373115
1557352575837601433,373114
1557352575887324430,373114
1557352575937924173,373114
1557352575988040070,373114
1557352576037895066,373114
1557352576087841123,373114
1557352576138158816,373114
1557352576188116023,373114
1557352576238212835,373114
1557352576288179758,373114
1557352576338319182,373114
1557352576388179240,373114
1557352576438933343,373114
1557352576488975040,373114
1557352576538944015,373114
1557352576588439375,373114
1557352576639094624,373114
1557352576689406914,373114
1557352576739358410,373114
1557352576789293610,373114
1557352576839304741,373114
1557352576889331661,373114
1557352576939581094,373114
1557352576989641646,373114
1557352577039719070,373114
1557352577090051450,373114
1557352577140085556,373114
1557352577189869950,373114
1557352577240205525,373114
1557352577290106969,373114
1557352577340199468,373114
1557352577390039042,373114
1557352577440086267,373114
1557352577490408948,373114
1557352577540456950,373114
1557352577590305557,373114
1557352577640352829,373114
1557352577690394950,373114
1557352577740439215,373114
1557352577790636819,373114
1557352577840801769,373114
1557352577890810119,373114
1557352577941277690,373114
1557352577990961149,373114
1557352578041045981,373114
1557352578091234380,373114
1557352578140974807,373114
1557352578191231854,373114
1557352578241250834,373114
1557352578291491856,373114
1557352578341440874,373114
1557352578391437818,373114
1557352578441876004,373114
1557352578491716579,373114
1557352578541772172,373114
1557352578592131653,373114
1557352578642254542,373114
1557352578692562764,373114
1557352578742498851,373115
1557352578792368240,373117
1557352578842604078,373121
1557352578892573733,373130
1557352578942957311,373137
1557352578992643710,373147
1557352579043064591,373159
1557352579093178070,373171
1557352579143153464,373183
1557352579193023552,373194
1557352579243036639,373205
1557352579293134098,373216
1557352579343265949,373228
1557352579393350494,373242
1557352579443475513,373259
1557352579493798773,373280
1557352579543779057,373293
1557352579593717633,373308
1557352579644548701,373326
1557352579694369059,373344
1557352579744514779,373367
1557352579794497566,373392
1557352579845001869,373423
1557352579894789447,373462
1557352579944901392,373508
1557352579994870229,373563
1557352580044908885,373623
1557352580095200812,373683
1557352580144938436,373747
1557352580195047795,373818
1557352580244957508,373894
1557352580295088801,373972
1557352580345098919,374051
1557352580395225649,374135
1557352580446484456,374221
1557352580495611601,374310
1557352580545724434,374395
1557352580595819837,374477
1557352580646015147,374552
1557352580696190237,374625
1557352580746095607,374698
1557352580796027978,374766
1557352580846321453,374838
1557352580896184789,374908
1557352580946329152,374971
1557352580996407421,375030
1557352581046546719,375083
1557352581096849256,375136
1557352581147002537,375179
1557352581197257388,375209
1557352581247369548,375241
1557352581297153579,375280
1557352581347459890,375324
1557352581397177033,375374
1557352581448178133,375415
1557352581498247447,375452
1557352581548337446,375499
1557352581598617978,375542
1557352581648396128,375574
1557352581698509922,375619
1557352581748591085,375673
1557352581799244314,375717
1557352581848826149,375762
1557352581898521322,375814
1557352581948717737,375862
1557352581998506416,375851
1557352582048510164,375846
1557352582098525260,375841
1557352582148529894,375809
1557352582198669639,375779
1557352582248811608,375739
1557352582299088529,375687
1557352582349410529,375638
1557352582399159495,375587
1557352582449230509,375531
1557352582499243983,375479
1557352582549539666,375436
1557352582600352329,375393
1557352582650699538,375347
1557352582700622478,375306
1557352582750713921,375267
1557352582800920030,375227
1557352582850983365,375187
1557352582900959311,375152
1557352582950713538,375117
1557352583000689203,375082
1557352583050491115,375053
1557352583101533610,375022
1557352583151460508,374992
1557352583202455963,374963
1557352583252522803,374935
1557352583302126448,374910
1557352583352454601,374886
1557352583402620591,374863
1557352583452253737,374840
1557352583502793880,374816
1557352583552745500,374795
1557352583602666249,374776
1557352583653238659,374758
1557352583702949847,374739
1557352583752402601,374720
1557352583802914543,374704
1557352583852655925,374691
1557352583902792683,374677
1557352583953444107,374662
1557352584002963737,374648
1557352584053163087,374637
1557352584103304478,374629
1557352584153922297,374619
1557352584203477113,374607
1557352584254568035,374595
1557352584304591866,374585
1557352584354636639,374579
1557352584404577964,374574
1557352584455148633,374570
1557352584505449876,374567
1557352584555145450,374565
1557352584605352164,374565
1557352584655267067,374565
1557352584705247156,374565
1557352584755111976,374565
1557352584805491593,374565
1557352584855200240,374567
1557352584905626657,374570
1557352584955143140,374573
1557352585005570199,374575
1557352585055491223,374575
1557352585106189398,374575
1557352585156105057,374575
1557352585206441775,374575
1557352585256201816,374575
1557352585306347964,374575
1557352585356555686,374575
1557352585407010611,374575
1557352585456983906,374575
1557352585506695451,374575
1557352585556730718,374575
1557352585606675625,374575
1557352585656903360,374575
1557352585706818562,374575
1557352585756663032,374575
1557352585807193369,374575
1557352585857985117,374575
1557352585907563522,374575
1557352585956856894,374575
1557352586007362330,374575
1557352586057491320,374575
1557352586107480947,374575
1557352586157565702,374575
1557352586207859574,374575
1557352586258510507,374575
1557352586308550665,374575
1557352586358478130,374575
1557352586408465407,374575
1557352586458968082,374575
1557352586508949152,374575
1557352586559150227,374575
1557352586608878190,374575
1557352586658882465,374575
1557352586708484835,374575
1557352586758657569,374575
1557352586809045564,374575
1557352586859021246,374575
1557352586909139316,374575
1557352586959586275,374575
1557352587010069455,374575
1557352587059971217,374575
1557352587110389460,374575
1557352587159959607,374575
1557352587210079012,374575
1557352587260346677,374575
1557352587310601850,374575
1557352587360953086,374575
1557352587411705763,374575
1557352587461788157,374575
1557352587511749963,374575
1557352587561810825,374575
1557352587610902484,374575
1557352587661631781,374575
1557352587711541109,374575
1557352587761649469,374575
1557352587812349112,374575
1557352587862368352,374575
1557352587912631022,374575
1557352587962153082,374575
1557352588012312197,374575
1557352588062025822,374575
1557352588112910261,374575
1557352588163275728,374575
1557352588213062404,374575
1557352588263604423,374575
1557352588313245420,374575
1557352588363654494,374575
1557352588413618568,374575
1557352588463772962,374575
1557352588513821112,374575
1557352588563824353,374575
1557352588613766275,374575
1557352588663243642,374575
1557352588714343573,374575
1557352588764351681,374575
1557352588814399413,374575
1557352588865071074,374575
1557352588914986693,374575
1557352588964538113,374575
1557352589014990966,374575
1557352589066244155,374575
1557352589116166047,374575
1557352589166170784,374575
1557352589216139843,374575
1557352589266089029,374575
1557352589317173890,374575
1557352589366640229,374575
1557352589415847329,374575
1557352589466106649,374575
1557352589516328274,374575
1557352589566569595,374575
1557352589616338432,374575
1557352589666493732,374575
1557352589716531167,374575
1557352589766418898,374575
1557352589816558502,374575
1557352589866554116,374575
1557352589916638230,374575
1557352589966545129,374571
1557352590016532531,374557
1557352590066744472,374546
1557352590116647741,374535
1557352590166829488,374529
1557352590216920953,374520
1557352590267245394,374504
1557352590317269595,374485
1557352590367467252,374462
1557352590417160697,374436
1557352590467653434,374407
1557352590517790123,374370
1557352590567567995,374332
1557352590617589212,374291
1557352590667693907,374247
1557352590718011506,374197
1557352590767975441,374147
1557352590818926012,374093
1557352590868792653,374037
1557352590918620300,373977
1557352590968097772,373917
1557352591018111929,373854
1557352591068302034,373791
1557352591119313404,373726
1557352591169470761,373654
1557352591219333755,373585
1557352591269628721,373516
1557352591319342635,373444
1557352591369232581,373370
1557352591419130332,373296
1557352591469312570,373221
1557352591519435268,373148
1557352591569165589,373065
1557352591619809838,372976
1557352591669463024,372897
1557352591719840520,372825
1557352591769634588,372743
1557352591819614403,372653
1557352591869621464,372574
1557352591919680747,372499
1557352591969850538,372421
1557352592020031203,372335
1557352592069911146,372248
1557352592120124573,372160
1557352592170123867,372071
1557352592220127617,371982
1557352592270115347,371889
1557352592320254618,371799
1557352592370309895,371709
1557352592420485818,371619
1557352592470454970,371523
1557352592520485626,371421
1557352592570485409,371322
1557352592621423769,371218
1557352592671266613,371119
1557352592721202364,371027
1557352592771406757,370919
1557352592821703773,370819
1557352592871804503,370715
1557352592922245627,370609
1557352592971895471,370509
1557352593022318790,370414
1557352593072460354,370309
1557352593122794828,370193
1557352593172668740,370083
1557352593222918515,369977
